微博正文
很高兴成为MISS SIXTY亚太区代言人！@MissSixty 高腰牛仔裤，让胸以下都是腿，只为女性设计，专业造就致命吸引力！三环束腰设计，让你穿出精致小蛮腰、逆天大长腿。#MISSION SIXTY#  [组图共9张] 原图 
哥哥起飞了哦～大家晚安🌙  [组图共2张] 原图 
#617腾讯影业年度发布会# 嫦娥姐姐终于要来见阿丝儿们啦～#电影日月#  原图 
搬完这块砖，就可以吃好吃的了  [组图共3张] 原图 
#不潮不出街#悠闲下午时光～ Dear-迪丽热巴的秒拍视频  
带话题词#我的身边有非遗#发布微博，分享你知道的非物质文化遗产，让我们一起关注文化传承。#极限挑战# Dear-迪丽热巴的秒拍视频  
100多天，说长不长，说短不短的，特别开心可以陪伴学员们一起成长，也特别开心可以和最尊敬的四位老师合作，未来我们一起加油啊！！  [组图共4张] 原图 
#比耶季##高考加油#大家高考加油鸭！！！  [组图共2张] 原图 
#蓝天保卫战我是行动者# 我承诺使用环保购物袋代替一次性塑料袋，助力蓝天。#和地球自拍#@联合国环境规划署 @星光公益联盟  原图 
这一年，做自己。不要停下努力的步伐。  原图 
今天是我的生日，来祝福我吧！  
27岁♥️第一次有这么多人陪我一起过生日🎂我真的特别特别感谢台前幕后的所有工作人员，还有你们我的阿丝儿，有人问为啥27岁要办生日会，因为2.7～只有87你们会懂♥️  [组图共6张] 原图 
#迪丽热巴生日会# 热·爱️终于实现了承诺，紧张～（来自@Dear-迪丽热巴 的微博直播）APP下载地址：http://t.cn/RDUuslr  
看到你们在乖乖排队偷拍了一下一会儿见阿丝儿们  原图 
#极限挑战#差不多就行了 咋害没完没了呢 Dear-迪丽热巴的微博视频  
你说，哥哥都听你的  [组图共2张] 原图 
有的时候，真的比男生还man  [组图共3张] 原图 
#爱上LV链条包# 时髦的三种颜色，随你风格百变～@路易威登 Dear-迪丽热巴的秒拍视频  
终于完成了26岁的愿望了哦 Dear-迪丽热巴的微博视频  
爱丽丝们行行好 别再催了好不好  原图 
等你来我的生日会  Dear-迪丽热巴的秒拍视频  
#极限挑战# 让我们相约在明日的东方卫视，让我们看起那些令迪头大的瞬间，只是捡完这袋垃圾，我不一定会娶你。  [组图共4张] 原图 
Pick全新#YSL反转巴黎#花溢香水，可甜可酷，敢来接受这次反转挑战吗？  [组图共4张] 原图 
收工💙🖤想吃拉面🍜  原图 
时尚并非遥远星河触不可及你每天的样子，都是特别存在！@Mytheresa 为你pick#每日时尚甜心# ，让你成为最时尚的#MY女孩#http://t.cn/ESLC4vf  原图 
